point_id,form_function,contrasts_confusions,point_prerequisites,world_prerequisites,anchor_domains,transfer_domains,provenance,status,frontier_lexeme_bundle_id,acquisition_lesson_id,required_lexeme_bundle_ids,required_response_forms,associated_response_forms,associated_discourse_operations
P-ACA-001,"academic connectors: `therefore`, `moreover/in addition`, `however`, `whereas`.",relation carried by connector must match logic,"[""P-CAU-004"",""P-CONTR-001"",""P-EVID-001""]","[""W-EPI-007""]","[""evidence""]","[""formal explanation""]","[""C226"",""C227"",""C228"",""C233""]",ACTIVE,LEX-P-ACA-001,L290,"[""LEX-W-EPI-007"",""LEX-P-CAU-004"",""LEX-P-CONTR-001"",""LEX-P-EVID-001""]","[""RF-EVIDENCE""]",[],[]
P-ACT-001,common action particles such as `put on/take off`.,particle meaning vs literal spatial `on/off`,"[""P-TNS-002""]","[""W-OBJ-001""]","[""clothing/object manipulation""]","[""equipment""]","[""C041""]",ACTIVE,LEX-P-ACT-001,L060,"[""LEX-W-OBJ-001"",""LEX-P-TNS-002""]",[],[],[]
P-AGE-001,age and generational comparison.,age vs calendar date,"[""P-CMP-002"",""P-TIME-001""]","[""W-TIME-004""]","[""people""]","[""historical cohorts""]","[""C073""]",ACTIVE,LEX-P-AGE-001,L084,"[""LEX-W-TIME-004"",""LEX-P-CMP-002"",""LEX-P-TIME-001""]",[],[],[]
P-ALT-001,"alternatives/exceptions: `instead of`, `not X but Y`, later `unless`.",replacement vs contrast vs exception,"[""P-Q-002""]","[""W-EAR-004""]","[""recycling/classification""]","[""rules""]","[""C103"",""C224"",""C234""]",ACTIVE,LEX-P-ALT-001,L118,"[""LEX-W-EAR-004"",""LEX-P-Q-002""]","[""RF-OR-IDENTITY""]",[],[]
P-APPEAR-001,`appears/seems` for appearance vs stronger assertion.,appearance vs reality claim,"[""P-EPI-001""]","[""W-AST-001""]","[""sky""]","[""evidence/inference""]","[""C136""]",ACTIVE,LEX-P-APPEAR-001,L195,"[""LEX-W-AST-001"",""LEX-P-EPI-001""]","[""RF-KNOW-UNKNOWN""]",[],[]
P-APPROX-001,approximate/range language.,exact vs approximate,"[""P-MEAS-001""]","[""W-MATH-009""]","[""measurement""]","[""data/science""]","[""C235""]",ACTIVE,LEX-P-APPROX-001,L222,"[""LEX-W-MATH-009"",""LEX-P-MEAS-001""]",[],[],[]
P-ASP-001,present progressive `be + -ing`.,now/ongoing vs routine,"[""P-ID-001""]","[""W-EVT-001""]","[""visible action""]","[""processes""]","[""C030""]",ACTIVE,LEX-P-ASP-001,L015,"[""LEX-W-EVT-001"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-AUTO-001,`can be used to...` for capability/application.,possibility vs intended purpose,"[""P-FUNC-001"",""P-PASS-001""]","[""W-COMP-010""]","[""automation""]","[""tools/models""]","[""C178""]",ACTIVE,LEX-P-AUTO-001,L170,"[""LEX-W-COMP-010"",""LEX-P-FUNC-001"",""LEX-P-PASS-001""]",[],[],[]
P-BELIEF-001,viewpoint attribution `some people believe...; others...`.,attribution vs endorsement,"[""P-EPI-001"",""P-QNT-004""]","[""W-CUL-003""]","[""culture""]","[""debate/history""]","[""C190""]",ACTIVE,LEX-P-BELIEF-001,L215,"[""LEX-W-CUL-003"",""LEX-P-EPI-001"",""LEX-P-QNT-004""]","[""RF-KNOW-UNKNOWN""]",[],[]
P-CAU-001,Reason exchange: `Why? — because ...`,reason/explanation vs result `so`,"[""P-Q-001""]","[""W-SOC-007""]","[""fairness/intention""]","[""physical cause"",""evidence/history""]","[""C050"",""SYN""]",ACTIVE,LEX-P-CAU-001,L191,"[""LEX-W-SOC-007"",""LEX-P-Q-001""]","[""RF-WHO-IDENTITY""]","[""RF-REASON""]","[""DO-EXPLAIN-REASON""]"
P-CAU-002,causative `make + object + verb`.,cause vs permit/help,"[""P-TNS-002""]","[""W-PHY-001""]","[""push/motion""]","[""machines/psychological effects""]","[""C083""]",ACTIVE,LEX-P-CAU-002,L100,"[""LEX-W-PHY-001"",""LEX-P-TNS-002""]",[],[],[]
P-CAU-003,result/consequence with `so`; later `leads to/results in`.,because gives reason; so gives result,"[""P-CAU-001""]","[""W-ECO-002""]","[""ordinary causation""]","[""systems""]","[""C051"",""C159"",""C232""]",ACTIVE,LEX-P-CAU-003,L192,"[""LEX-W-ECO-002"",""LEX-P-CAU-001""]","[""RF-REASON""]",[],"[""DO-EXPLAIN-REASON""]"
