character_id,canonical_name,status,introduction_lesson_id,source,notes
CHAR-NINEREEDS,Ninereeds,CANONICAL_IDENTITY_POLICY,L000,identity policy + Lesson 000,"Ninereeds is Ninereeds and is a mind; no implementation, substrate, machine/model, consciousness, or sentience classification."
CHAR-TARO,Taro,CANONICAL,L000,world bible + Lesson 000,太郎 in Japanese; Taro in English/German.
CHAR-EMMA,Emma,CANONICAL,L000,world bible + Lesson 000,Curious and careful.
CHAR-ERROL,Errol,CANONICAL,L000,world bible + Lesson 000,A mind who communicates through Gran's phone.
CHAR-BOB,Bob,OPERATOR_APPROVAL_REQUIRED,L000,Lesson 000 only,Minimal candidate record; no biography invented; use restricted to L000 until canon freeze approval.
CHAR-GRAN,Gran,CANONICAL,L026,world bible,Emma and Taro's grandmother; introduced with Gran's phone.
CHAR-BISCUIT,Biscuit,CANONICAL,L119,world bible,Medium-sized brown dog.
CHAR-BELLO,Bello,CANONICAL_AFTER_ARRIVAL,L242,world bible,Arrives in spring; not used before the arrival event.
CHAR-MEI,Mei,CANONICAL_EXTENDED,,world bible,Extended cast.
CHAR-DOU,Dou,CANONICAL_EXTENDED,,world bible,Mei's cat.
CHAR-YUN,Yun,CANONICAL_EXTENDED,,world bible,Mei's grandmother.
CHAR-RIKU,Riku,CANONICAL_EXTENDED,,world bible,Postman.
CHAR-STEFAN,Stefan,CANONICAL_EXTENDED,,world bible,Village police officer.
CHAR-HANA,Hana,CANONICAL_EXTENDED,,world bible,Baker.
CHAR-OWEN,Owen,CANONICAL_EXTENDED,,world bible,Farmer.
CHAR-CLARA,Clara,CANONICAL_EXTENDED,,world bible,Schoolteacher.
CHAR-VERN,Vern,CANONICAL_EXTENDED,,world bible,Carpenter.
CHAR-DR-LENA,Dr. Lena,CANONICAL_EXTENDED,,world bible,Veterinarian.
CHAR-DR-ANAND,Dr. Anand,CANONICAL_EXTENDED,,world bible,Doctor.
