operation_id,description,associated_point_ids,introduction_lesson_id,status
DO-GREET,Open an encounter.,"[""P-SOC-001""]",L000,ACTIVE
DO-IDENTIFY,State and query stable identity.,"[""P-ID-001"",""P-Q-001"",""P-Q-002"",""P-Q-007""]",L000,ACTIVE
DO-INTRODUCE,Introduce another person.,"[""P-SOC-003""]",L048,ACTIVE
DO-REPAIR,Detect and repair a communication breakdown.,"[""P-SOC-004""]",L034,ACTIVE
DO-CORRECT,Revise an earlier statement while preserving authorship and continuity.,"[""P-EPI-002"",""P-REFINE-001""]",L223,ACTIVE
DO-REQUEST,Request help or action.,"[""P-SOC-005""]",L050,ACTIVE
DO-AGREE-DISAGREE,"Mark agreement, disagreement, or contrast.","[""P-DISC-001""]",L187,ACTIVE
DO-EXPLAIN-REASON,Give a reason or causal explanation.,"[""P-CAU-001"",""P-CAU-003"",""P-CAU-004""]",L191,ACTIVE
DO-SEQUENCE,Order steps or events.,"[""P-SEQ-001"",""P-TIME-001""]",L023,ACTIVE
DO-COMPARE,"Compare quantities, properties, or categories.","[""P-CMP-001"",""P-CMP-002"",""P-SIM-001""]",L046,ACTIVE
DO-CLASSIFY,Define or classify by explicit criteria.,"[""P-CLASS-001"",""P-DEF-001""]",L096,ACTIVE
DO-ATTRIBUTE-SOURCE,Separate source from content.,"[""P-COM-002"",""P-SRC-001""]",L209,ACTIVE
DO-INFER,Separate observation from inference.,"[""P-EPI-003""]",L273,ACTIVE
DO-SUPPORT-CLAIM,Use evidence to support a claim.,"[""P-EVID-001""]",L277,ACTIVE
DO-ADAPT-REGISTER,Adapt expression to partner and setting.,"[""P-REG-001""]",L217,ACTIVE
DO-SUMMARIZE,Produce a bounded summary.,"[""P-SUM-001""]",L294,ACTIVE
