lesson_id,topic,primary_frontier,world_objectives,foreground_point,staged_gates,frontier_lexemes,frontier_lexeme_bundle_ids,required_lexeme_bundle_ids,required_points,required_response_forms,introduced_response_forms,required_discourse_operations,introduced_discourse_operations,surface_language_contract,rehearsal_transfer_targets,prerequisite_lesson_ids,characters,locations,canonical_chronology_event,canonical_first_meeting_pairs,exercise_scope,grounding_modes,picture_book_status,evaluation_targets,source_provenance,estimated_minutes,learning_objectives,point_definition
L000,Greeting and self-introduction,STAGED_EXCEPTION,"[{""world_id"":""W-CHR-001"",""status"":""NEW""}]","{""point_ids"":[""P-SOC-001"",""P-ID-001"",""P-Q-001"",""P-Q-002"",""P-SOC-002""],""status"":""NEW_STAGED""}","[{""gate_id"":""G0-NAMES"",""frontier_ids"":[""W-CHR-001""],""independent_probe"":true},{""gate_id"":""G1-GREETING"",""frontier_ids"":[""P-SOC-001""],""independent_probe"":true},{""gate_id"":""G2-IDENTITY-AFF_NEG"",""frontier_ids"":[""P-ID-001""],""independent_probe"":true},{""gate_id"":""G3-WHO"",""frontier_ids"":[""P-Q-001""],""independent_probe"":true},{""gate_id"":""G4-OR"",""frontier_ids"":[""P-Q-002""],""independent_probe"":true},{""gate_id"":""G5-MEETING_RECIPROCITY"",""frontier_ids"":[""P-SOC-002""],""independent_probe"":true}]","[""Ninereeds"",""Taro"",""Emma"",""Bob"",""Errol"",""name"",""same individual"",""Hello!"",""Good morning!"",""I'm Ninereeds."",""Yes, I'm Ninereeds."",""No, I'm not Errol. I'm Ninereeds."",""Who are you?"",""Are you X or Y?"",""Nice to meet you!"",""Nice to meet you, too.""]","[""LEX-W-CHR-001"",""LEX-P-SOC-001"",""LEX-P-ID-001"",""LEX-P-Q-001"",""LEX-P-Q-002"",""LEX-P-SOC-002""]",[],[],[],"[""RF-GREETING"",""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY"",""RF-WHO-IDENTITY"",""RF-OR-IDENTITY"",""RF-MEETING-RECIPROCITY""]",[],"[""DO-GREET"",""DO-IDENTIFY""]","{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""Only the current gate frontier; later gates remain unavailable until the earlier gate passes."",""presentation_practice_feedback_evaluation_closed"":true}",[],[],"[""CHAR-NINEREEDS"",""CHAR-TARO"",""CHAR-EMMA"",""CHAR-BOB"",""CHAR-ERROL""]","[""LOC-DIRECT-TEACHING""]",CANON-FIRST-MEETINGS-L000,"[""Ninereeds–Taro"",""Ninereeds–Emma"",""Ninereeds–Bob"",""Ninereeds–Errol""]",Presentation events canonical; controlled drills direct teacher–learner or noncanonical examples.,"[""DIALOGUE"",""SYMBOLIC""]",PB-N,"[""independent affirmative identity"",""independent negative identity"",""Who response"",""OR response"",""meeting reciprocity"",""mixed Kreuz und Quer after gated mastery""]","[""Lesson 000 source"",""C001"",""C002"",""C014"",""C024"",""C026""]",45,"[""Maintain stable names and identity across turns"",""Use the six independently gated bootstrap functions""]","Greeting, copular self-identification with affirmative/negative response, Who identity question, OR identity question, and meeting reciprocity."
L001,Mind/person/device distinctions,WORLD_FRONTIER,"[{""world_id"":""W-ONT-001"",""status"":""NEW""}]","{""point_ids"":[""P-ID-001""],""status"":""EST""}",[],"[""mind"",""person"",""device"",""Ninereeds is Ninereeds"",""Ninereeds is a mind"",""Errol is a mind""]","[""LEX-W-ONT-001""]","[""LEX-W-CHR-001"",""LEX-P-ID-001""]","[""P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-W-ONT-001"",""presentation_practice_feedback_evaluation_closed"":true}",[],"[""L000""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""DIAGRAM"",""DIALOGUE""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""World-concept probe without frontier wording""]","[""V2"",""SYN""]",30,"[""Mind/person/device distinctions. Minds, people, and devices are not interchangeable categories; Ninereeds and Errol are curricular instances of minds.""]","Identity/self-introduction with copular affirmative/negative: `I am`, `X is/isn't`."
L002,Indefinite a/an,POINT_FRONTIER,"[{""world_id"":""W-ONT-001"",""status"":""EST""}]","{""point_ids"":[""P-DET-001""],""status"":""NEW""}",[],"[""a/an""]","[""LEX-P-DET-001""]","[""LEX-W-ONT-001"",""LEX-P-ID-001""]","[""P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-DET-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""W-ONT-001""]","[""L001"",""L000""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C003""]",30,"[""Indefinite `a/an`.""]",Indefinite `a/an`.
L003,Ordinary physical objects and persistence,WORLD_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""NEW""}]","{""point_ids"":[""P-ID-001""],""status"":""EST""}",[],"[""physical"",""objects"",""persistence""]","[""LEX-W-OBJ-001""]","[""LEX-W-CHR-001"",""LEX-P-ID-001"",""LEX-P-DET-001""]","[""P-ID-001"",""P-DET-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-W-OBJ-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""W-ONT-001"",""P-DET-001""]","[""L000"",""L002""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SEQUENCE""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""World-concept probe without frontier wording""]","[""C004"",""C005"",""C006"",""C007"",""C008"",""C009"",""C010"",""C011"",""C012"",""C013""]",30,"[""Ordinary physical objects and persistence. Objects can remain the same object while their location or visible state changes.""]","Identity/self-introduction with copular affirmative/negative: `I am`, `X is/isn't`."
L004,Definite the for identifiable referent,POINT_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""EST""}]","{""point_ids"":[""P-DET-002""],""status"":""NEW""}",[],"[""the""]","[""LEX-P-DET-002""]","[""LEX-W-OBJ-001"",""LEX-P-DET-001""]","[""P-DET-001""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-DET-002"",""presentation_practice_feedback_evaluation_closed"":true}","[""W-ONT-001"",""P-DET-001"",""W-OBJ-001""]","[""L003"",""L002""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C004""]",30,"[""Definite `the` for identifiable referent.""]",Definite `the` for identifiable referent.
L005,Regular plurals -s/-es,POINT_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""EST""}]","{""point_ids"":[""P-NUM-001""],""status"":""NEW""}",[],"[""-s/-es""]","[""LEX-P-NUM-001""]","[""LEX-W-OBJ-001"",""LEX-P-DET-001""]","[""P-DET-001""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-NUM-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""W-ONT-001"",""P-DET-001"",""W-OBJ-001"",""P-DET-002""]","[""L003"",""L002""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C005""]",30,"[""Regular plurals `-s/-es`.""]",Regular plurals `-s/-es`.
L006,subject/object pronouns,POINT_FRONTIER,"[{""world_id"":""W-CHR-001"",""status"":""EST""}]","{""point_ids"":[""P-PRON-001""],""status"":""NEW""}",[],"[""subject"",""object"",""pronouns""]","[""LEX-P-PRON-001""]","[""LEX-W-CHR-001"",""LEX-P-ID-001""]","[""P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-PRON-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-DET-001"",""W-OBJ-001"",""P-DET-002"",""P-NUM-001""]","[""L000""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C009""]",30,"[""subject/object pronouns.""]",subject/object pronouns.
L007,this/that/these/those,POINT_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""EST""}]","{""point_ids"":[""P-DET-003""],""status"":""NEW""}",[],"[""this/that/these/those""]","[""LEX-P-DET-003""]","[""LEX-W-OBJ-001"",""LEX-P-DET-001"",""LEX-P-DET-002""]","[""P-DET-001"",""P-DET-002""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-DET-003"",""presentation_practice_feedback_evaluation_closed"":true}","[""W-OBJ-001"",""P-DET-002"",""P-NUM-001"",""P-PRON-001""]","[""L003"",""L002"",""L004""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C006""]",30,"[""`this/that/these/those`.""]",`this/that/these/those`.
L008,Object/type question What is this? / What is X?,POINT_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""EST""}]","{""point_ids"":[""P-Q-007""],""status"":""NEW""}",[],"[""What is this?"",""What is X?""]","[""LEX-P-Q-007""]","[""LEX-W-OBJ-001"",""LEX-P-ID-001"",""LEX-P-DET-001""]","[""P-ID-001"",""P-DET-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-WHAT-TYPE""]","[""DO-IDENTIFY""]","[""DO-IDENTIFY""]","{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-Q-007"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-DET-002"",""P-NUM-001"",""P-PRON-001"",""P-DET-003""]","[""L003"",""L000"",""L002""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C014"",""SYN""]",30,"[""Object/type question `What is this?` / `What is X?`.""]",Object/type question `What is this?` / `What is X?`.
L009,there is/there are,POINT_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""EST""}]","{""point_ids"":[""P-EXIST-001""],""status"":""NEW""}",[],"[""there is/there are""]","[""LEX-P-EXIST-001""]","[""LEX-W-OBJ-001"",""LEX-P-DET-002"",""LEX-P-NUM-001""]","[""P-DET-002"",""P-NUM-001""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-EXIST-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-NUM-001"",""P-PRON-001"",""P-DET-003"",""P-Q-007""]","[""L003"",""L004"",""L005""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C011""]",30,"[""`there is/there are`.""]",`there is/there are`.
