bundle_id,member_lexemes_fixed_expressions,surface_forms_by_language,semantic_function,introduction_lesson_id,prerequisite_bundle_ids,mode,associated_world_id,associated_point_id,permitted_use_after_introduction,status
LEX-P-ACA-001,"[""therefore"",""moreover/in addition"",""however"",""whereas""]","{""en-US"":[""therefore"",""moreover/in addition"",""however"",""whereas""]}","academic connectors: `therefore`, `moreover/in addition`, `however`, `whereas`.",L290,"[""LEX-W-EPI-007"",""LEX-P-CONTR-001"",""LEX-P-CAU-004"",""LEX-P-EVID-001""]",PRODUCTIVE,,P-ACA-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-ACT-001,"[""put on/take off""]","{""en-US"":[""put on/take off""]}",common action particles such as `put on/take off`.,L060,"[""LEX-P-TNS-002"",""LEX-W-OBJ-001""]",PRODUCTIVE,,P-ACT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-AGE-001,"[""age"",""generational"",""comparison""]","{""en-US"":[""age"",""generational"",""comparison""]}",age and generational comparison.,L084,"[""LEX-P-CMP-002"",""LEX-W-TIME-004"",""LEX-P-TIME-001""]",PRODUCTIVE,,P-AGE-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-ALT-001,"[""instead of"",""not X but Y"",""unless""]","{""en-US"":[""instead of"",""not X but Y"",""unless""]}","alternatives/exceptions: `instead of`, `not X but Y`, later `unless`.",L118,"[""LEX-W-EAR-004"",""LEX-P-Q-002""]",PRODUCTIVE,,P-ALT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-APPEAR-001,"[""appears/seems""]","{""en-US"":[""appears/seems""]}",`appears/seems` for appearance vs stronger assertion.,L195,"[""LEX-W-AST-001"",""LEX-P-EPI-001""]",PRODUCTIVE,,P-APPEAR-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-APPROX-001,"[""approximate"",""range""]","{""en-US"":[""approximate"",""range""]}",approximate/range language.,L222,"[""LEX-W-MATH-009"",""LEX-P-MEAS-001""]",PRODUCTIVE,,P-APPROX-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-ASP-001,"[""be + -ing""]","{""en-US"":[""be + -ing""]}",present progressive `be + -ing`.,L015,"[""LEX-W-EVT-001"",""LEX-P-ID-001""]",PRODUCTIVE,,P-ASP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-AUTO-001,"[""can be used to...""]","{""en-US"":[""can be used to...""]}",`can be used to...` for capability/application.,L170,"[""LEX-P-PASS-001"",""LEX-P-FUNC-001"",""LEX-W-COMP-010""]",PRODUCTIVE,,P-AUTO-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-BELIEF-001,"[""some people believe..."",""others...""]","{""en-US"":[""some people believe..."",""others...""]}",viewpoint attribution `some people believe...; others...`.,L215,"[""LEX-P-QNT-004"",""LEX-P-EPI-001"",""LEX-W-CUL-003""]",PRODUCTIVE,,P-BELIEF-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CAU-001,"[""Why? — because ...""]","{""en-US"":[""Why? — because ...""]}",Reason exchange: `Why? — because ...`,L191,"[""LEX-P-Q-001"",""LEX-W-SOC-007""]",PRODUCTIVE,,P-CAU-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
