location_id,canonical_name,status,introduction_lesson_id,source,topology_relations
LOC-DIRECT-TEACHING,Direct teaching interaction,NONCANONICAL_INSTRUCTIONAL,L000,Lesson 000 format,[]
LOC-NONCANONICAL-DIAGRAM,Noncanonical instructional diagram,NONCANONICAL_INSTRUCTIONAL,L000,compiler grounding mode,[]
LOC-GRANS-HOUSE,Gran's House,CANONICAL,L026,world bible,"[""connects_to:LOC-VILLAGE-LANE"",""gate_connects_to:LOC-MEADOW-PATH""]"
LOC-OAK,The Oak,CANONICAL,L039,world bible,"[""near:LOC-POND"",""edge_of:Gran's field""]"
LOC-POND,The Pond,CANONICAL,L039,world bible,"[""short_walk_from:LOC-OAK"",""visible_from:LOC-MEADOW-PATH""]"
LOC-MEADOW-PATH,The Meadow Path,CANONICAL,L039,world bible,"[""connects:LOC-GRANS-HOUSE->LOC-POND->LOC-SCHOOL""]"
LOC-SCHOOL,The Schoolyard and Classroom,CANONICAL,L039,world bible,"[""far_end_of:LOC-MEADOW-PATH""]"
LOC-GRANS-GARDEN,Gran's Garden,CANONICAL,L124,world bible,"[""behind:LOC-GRANS-HOUSE""]"
LOC-UPSTAIRS,The Upstairs,CANONICAL,,world bible,"[""inside:LOC-GRANS-HOUSE""]"
LOC-VILLAGE-LANE,The Village Lane,CANONICAL,L136,world bible,"[""connects:LOC-GRANS-HOUSE->LOC-VILLAGE""]"
LOC-VILLAGE,The Village,CANONICAL,L136,world bible,"[""below:LOC-VILLAGE-LANE""]"
LOC-VET,The Veterinary Surgery,CANONICAL,L255,world bible,"[""side_street_of:LOC-VILLAGE"",""opposite:LOC-DOCTOR""]"
LOC-DOCTOR,The Doctor's Surgery,CANONICAL,L227,world bible,"[""side_street_of:LOC-VILLAGE"",""opposite:LOC-VET""]"
LOC-MILL,The Mill,CANONICAL_EXTENDED,L111,world bible,"[""edge_of:LOC-VILLAGE""]"
LOC-WORKSHOP,Vern's Workshop,CANONICAL_EXTENDED,L035,world bible,"[""between:LOC-VET,LOC-DOCTOR""]"
LOC-HILL,The Hill,CANONICAL_EXTENDED,L113,world bible,"[""far_end_of:Gran's field""]"
LOC-ROOT-CELLAR,The Root Cellar,CANONICAL_EXTENDED,L160,world bible,"[""below:LOC-GRANS-HOUSE""]"
