source_id,original_topic,original_point,target_world_ids,target_point_ids,lesson_ids,backlog_status,transformation_type,exclusion_or_defer_reason,authority_role
C001,meeting another person,"greetings and farewells: “hello,” “good morning,” “goodbye,” “see you later”","[""W-CHR-001"",""W-SOC-001""]","[""P-SOC-001"",""P-SOC-010""]","[""L000"",""L047"",""L052""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C002,names and introductions,"“I am…,” “my name is…,” “this is…”","[""W-CHR-001"",""W-SOC-001""]","[""P-ID-001"",""P-SOC-002"",""P-SOC-003""]","[""L000"",""L047"",""L048""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C003,people and occupational roles,"indefinite articles “a/an”: “a teacher,” “an engineer”","[""W-SOC-010""]","[""P-DET-001""]","[""L002"",""L053""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C004,familiar objects in a room,definite article “the” for an identifiable referent,"[""W-OBJ-001""]","[""P-DET-002""]","[""L003"",""L004""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C005,groups of ordinary objects,regular plural nouns with “-s/-es”,"[""W-OBJ-001""]","[""P-NUM-001""]","[""L003"",""L005""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C006,nearby and distant objects,“this/that/these/those”,"[""W-OBJ-001""]","[""P-DET-003""]","[""L003"",""L007""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C007,belongings and possessions,“have/has”,"[""W-OBJ-001"",""W-OBJ-002""]",[],"[""L003"",""L024""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C008,owners and their belongings,possessives: “my/your/his/her/our/their” and possessive “’s”,"[""W-OBJ-001"",""W-OBJ-002""]","[""P-POSS-001""]","[""L003"",""L024"",""L025""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C009,people performing actions,"subject and object pronouns: “I/me,” “he/him,” “they/them”","[""W-OBJ-001""]","[""P-PRON-001""]","[""L003"",""L006""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C010,colors and visible properties,adjective + noun and “be + adjective”: “a red folder”; “the folder is red”,"[""W-OBJ-001"",""W-OBJ-003""]","[""P-DESC-001""]","[""L003"",""L012"",""L013""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
