world_id,teaching_claim,domain,world_prerequisites,point_prerequisites,grounding_modes,provenance,status,frontier_lexeme_bundle_id,acquisition_lesson_id,required_established_lexeme_bundle_ids,frontier_lexemes
W-ART-001,"Pictures, diagrams, paintings, and sculpture are different representational/art forms.",arts,"[""W-REP-001"",""W-REP-002"",""W-REP-003"",""W-REP-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001""]","[""COMPARISON""]","[""C186""]",ACTIVE,LEX-W-ART-001,L270,"[""LEX-W-REP-001"",""LEX-W-REP-002"",""LEX-W-REP-003"",""LEX-W-REP-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001""]","[""pictures"",""diagrams"",""paintings"",""sculpture"",""representational"",""art"",""forms""]"
W-ART-002,Music/sound can be described using relative perceptual properties.,arts,"[""W-PHY-007""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001""]","[""COMPARISON""]","[""C187""]",ACTIVE,LEX-W-ART-002,L175,"[""LEX-W-PHY-007"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001""]","[""music"",""sound"",""described"",""using"",""relative"",""perceptual"",""properties""]"
W-AST-001,Earth's day/night cycle and the observable daytime/nighttime sky are related but not identical concepts.,astronomy,"[""W-TIME-003""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM"",""SEQUENCE""]","[""C135"",""C136""]",ACTIVE,LEX-W-AST-001,L137,"[""LEX-W-TIME-003"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""earth's"",""day"",""night"",""cycle"",""observable"",""daytime"",""nighttime"",""sky""]"
W-AST-002,Apparent solar position and shadow change form an observable correlated pattern.,astronomy,"[""W-PHY-005"",""W-PHY-006"",""W-AST-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SEQUENCE"",""DIAGRAM""]","[""C137""]",ACTIVE,LEX-W-AST-002,L257,"[""LEX-W-PHY-005"",""LEX-W-PHY-006"",""LEX-W-AST-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""apparent"",""solar"",""position"",""shadow"",""change"",""form"",""observable"",""correlated""]"
W-AST-003,The Moon's visible appearance changes in a recurring pattern over time.,astronomy,"[""W-AST-001"",""W-TIME-002""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SEQUENCE""]","[""C138""]",ACTIVE,LEX-W-AST-003,L138,"[""LEX-W-AST-001"",""LEX-W-TIME-002"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""moon's"",""visible"",""appearance"",""changes"",""recurring"",""pattern"",""time""]"
W-AST-004,Planets orbit; orbiting is a spatial motion relation.,astronomy,"[""W-PHY-001"",""W-GEO-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C139""]",ACTIVE,LEX-W-AST-004,L139,"[""LEX-W-PHY-001"",""LEX-W-GEO-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""planets"",""orbit"",""orbiting"",""spatial"",""motion""]"
W-AST-005,The solar system contains the Sun and orbiting bodies; member and system are distinct.,astronomy,"[""W-AST-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C140""]",ACTIVE,LEX-W-AST-005,L140,"[""LEX-W-AST-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""solar"",""system"",""contains"",""sun"",""orbiting"",""bodies"",""member""]"
W-BIO-001,Living and nonliving entities are distinguished using biological properties rather than motion alone.,biology,"[""W-ONT-001"",""W-OBJ-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""COMPARISON""]","[""C104""]",ACTIVE,LEX-W-BIO-001,L119,"[""LEX-W-ONT-001"",""LEX-W-OBJ-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""living"",""nonliving"",""entities"",""distinguished"",""using"",""biological"",""properties"",""rather""]"
W-BIO-002,"Plants have differentiated structures: roots, stems, leaves, flowers/seeds where applicable.",biology,"[""W-BIO-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C105""]",ACTIVE,LEX-W-BIO-002,L124,"[""LEX-W-BIO-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""plants"",""have"",""differentiated"",""structures"",""roots"",""stems"",""leaves"",""flowers""]"
W-BIO-003,Plants require resources and pass through growth stages.,biology,"[""W-BIO-002"",""W-TIME-002""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SEQUENCE"",""DIAGRAM""]","[""C106"",""C107""]",ACTIVE,LEX-W-BIO-003,L125,"[""LEX-W-BIO-002"",""LEX-W-TIME-002"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""plants"",""require"",""resources"",""pass"",""growth"",""stages""]"
