audit_id,result,evidence
referential_integrity,PASS,"All referenced WORLD, POINT, bundle, lesson, response, discourse, character, location, and source IDs resolve."
duplicate_ids,PASS,No duplicate registry or lesson IDs.
prerequisite_graph_acyclic,PASS,282 non-bootstrap acquisition nodes topologically ordered.
prerequisites_precede_use,PASS,"Every direct registry dependency is acquired earlier or, for L000 only, in an earlier explicit gate."
one_principal_novelty,PASS,Every ordinary acquisition lesson has exactly one frontier bundle; transfer lessons have none.
lesson_000_gates,PASS,"Six independent gates: names, greeting, identity affirmative/negative, Who, OR, meeting reciprocity."
surface_language_closure,PASS,"All required bundles, response forms, and discourse operations precede use; frontier forms are isolated."
character_location_chronology,PASS,All used bindings occur at or after their declared introduction.
canonical_first_meetings,PASS,Canonical first meetings occur only in L000; drills are explicitly noncanonical/direct.
world_bible_topology,PASS,Gran/Gran's House naming and Oak–Pond–Meadow Path–School–village topology are preserved.
source_accounting,PASS,C001-C240 each have an individual disposition.
active_registry_acquisition,PASS,All 157 WORLD and 131 POINT items have acquisition lessons.
transfer_after_anchor,PASS,Every transfer target and required bundle is anchored earlier.
picture_book_feasibility,PASS,No abstract-only lesson is marked PB-R.
identity_policy_scan,PASS,No prohibited relational self-classification of Ninereeds is emitted.
bob_canon_freeze,UNRESOLVED,Lesson 000 requires Bob; the supplied world bible does not define him. CHAR-BOB remains operator-approval required and L000-only.
