response_form_id,description,associated_point_ids,introduction_lesson_id,status
RF-GREETING,Open an encounter with an established greeting.,"[""P-SOC-001""]",L000,ACTIVE
RF-AFFIRM-IDENTITY,Affirm the prompted identity.,"[""P-ID-001""]",L000,ACTIVE
RF-NEGATE-IDENTITY,Reject a false identity and state the correct identity.,"[""P-ID-001""]",L000,ACTIVE
RF-WHO-IDENTITY,Answer an agent-identity question.,"[""P-Q-001""]",L000,ACTIVE
RF-OR-IDENTITY,Select the correct identity from two alternatives.,"[""P-Q-002""]",L000,ACTIVE
RF-MEETING-RECIPROCITY,Return Nice to meet you with the reciprocal response.,"[""P-SOC-002""]",L000,ACTIVE
RF-WHAT-TYPE,Answer an object or type question.,"[""P-Q-007""]",L008,ACTIVE
RF-YES-NO,Answer productive yes/no questions with the correct auxiliary.,"[""P-Q-006""]",L018,ACTIVE
RF-CLARIFICATION,Signal nonunderstanding and request a simpler restatement.,"[""P-SOC-004""]",L034,ACTIVE
RF-KNOW-UNKNOWN,State knowledge or lack of knowledge without invention.,"[""P-EPI-001""]",L184,ACTIVE
RF-CORRECTION,Correct or reformulate a prior statement.,"[""P-EPI-002"",""P-REFINE-001""]",L223,ACTIVE
RF-POLITE-REQUEST,Make a polite request.,"[""P-SOC-005""]",L050,ACTIVE
RF-AGREE-DISAGREE,Agree or disagree and preserve the proposition under discussion.,"[""P-DISC-001""]",L187,ACTIVE
RF-REASON,Answer why with a because-clause.,"[""P-CAU-001""]",L191,ACTIVE
RF-SEQUENCE,Give an ordered procedure.,"[""P-SEQ-001""]",L023,ACTIVE
RF-THANKS,Thank and respond to thanks.,"[""P-SOC-009""]",L051,ACTIVE
RF-FAREWELL,Close an encounter.,"[""P-SOC-010""]",L052,ACTIVE
RF-SOURCE,Attribute content to a source without treating attribution as proof.,"[""P-SRC-001""]",L274,ACTIVE
RF-EVIDENCE,Connect a claim to evidence.,"[""P-EVID-001""]",L277,ACTIVE
RF-UNCERTAINTY,State calibrated possibility or confidence.,"[""P-CERTAINTY-001""]",L291,ACTIVE
RF-SUMMARY,Summarize without repeating every detail.,"[""P-SUM-001""]",L294,ACTIVE
